FIPS,Latitude,Longitude,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
13231,33.090769,-84.386627,0.307,0.284,0.262
13233,33.995961,-85.186826,0.283,0.291,0.345
13235,32.238794,-83.481855,0.319,0.318,0.317
13237,33.321061,-83.37179,0.317,0.324,0.3
13239,31.861487,-85.009317,0.312,0.326,0.34
13241,34.883026,-83.404735,0.305,0.321,0.294
13243,31.762651,-84.752311,0.365,0.358,0.337
13245,33.361487,-82.074998,0.332,0.351,0.341
13247,33.652081,-84.02637,0.327,0.346,0.36
13249,32.263441,-84.322724,0.296,0.291,0.304
13251,32.744751,-81.617585,0.341,0.357,0.33
13253,30.933894,-84.867592,0.296,0.295,0.307
13255,33.262389,-84.286067,0.355,0.345,0.324
13257,34.552914,-83.290216,0.302,0.281,0.301
13259,32.073225,-84.834912,0.328,0.343,0.342
13261,32.042203,-84.204283,0.35,0.34,0.327
13263,32.704603,-84.530029,0.338,0.343,0.333
13265,33.559314,-82.875208,0.35,0.341,0.314
13267,32.043768,-82.059208,0.352,0.353,0.331
13269,32.554667,-84.251426,0.326,0.305,0.288
13271,31.913639,-82.931062,0.3,0.316,0.309
13273,31.777191,-84.439446,0.354,0.345,0.316
13275,30.864616,-83.919783,0.31,0.326,0.34
13277,31.457003,-83.525931,0.323,0.348,0.34
13279,32.126698,-82.332071,0.332,0.329,0.315
13281,34.90265,-83.732158,0.27,0.264,0.274
13283,32.409586,-82.570882,0.342,0.334,0.329
13285,33.034482,-85.02836,0.299,0.294,0.3
13287,31.718232,-83.628567,0.343,0.343,0.346
13289,32.665847,-83.425879,0.314,0.307,0.328
13291,34.83377,-83.989573,0.252,0.27,0.272
13293,32.881837,-84.292281,0.324,0.341,0.32
13295,34.735827,-85.305385,0.334,0.331,0.321
13297,33.782649,-83.734215,0.3,0.306,0.344
13299,31.050881,-82.421507,0.343,0.355,0.355
13301,33.419169,-82.688012,0.352,0.343,0.32
13303,32.971848,-82.798112,0.353,0.345,0.322
13305,31.547845,-81.912376,0.324,0.323,0.318
13307,32.046554,-84.553218,0.315,0.32,0.321
13309,32.109276,-82.738701,0.327,0.338,0.319
13311,34.643677,-83.743713,0.275,0.281,0.286
13313,34.801726,-84.968541,0.288,0.297,0.335
13315,31.962717,-83.438262,0.329,0.323,0.315
13317,33.77904,-82.747922,0.337,0.325,0.329
13319,32.804321,-83.175587,0.34,0.336,0.345
13321,31.551773,-83.84996,0.342,0.374,0.367
